sn_block,uid_i,uid_j,survey_i,survey_j,released_common_difference,sigma_released_common_difference,local_refit_departure_difference,local_photometric_sigma_independent_proxy,raw_error_cross_survey_covariance,fit_i,fit_j
Pantheon:2009al,P0339,P0340,5,65,0.029800000000001596,0.15150537944244752,0.0283443418904026,0.012140175948906203,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009an,P0114,P0115,51,65,0.1125000000000042,0.27130398080382084,0.0005076878108894998,0.05693996052938235,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009cz,P0341,P0342,56,5,0.0,0.20137306175355232,0.0008407785900350004,0.01717603356380375,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009d,P0367,P0368,5,51,-0.06659999999999398,0.16115777983082294,0.0690878716161865,0.03936933684127975,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009d,P0367,P0369,5,65,0.058700000000001806,0.1655225362299648,0.0577236834830126,0.01438008538766883,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009d,P0368,P0369,51,65,0.1252999999999958,0.13756125908118172,-0.0113641881331739,0.04188003815005161,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009ds,P0267,P0268,5,65,-0.1948000000000008,0.19611274818328361,0.0161761374239517,0.02098077830977914,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009fv,P0483,P0484,51,65,0.06859999999999639,0.37031899762232023,-0.3217855483591916,0.025800224262385776,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009gf,P0251,P0252,65,56,-0.08400000000000299,0.23477295414932275,-0.006588877506340799,0.022631839543124525,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009ig,P0076,P0077,56,51,-0.3723000000000027,0.21027189541163127,-0.0356883523565964,0.013736495969376268,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009ig,P0076,P0078,56,66,-0.2995999999999981,0.10325962424878372,-0.0240371034199013,0.01510168460201203,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009ig,P0077,P0078,51,66,0.0727000000000046,0.2107994307392693,0.0116512489366951,0.013256530734512627,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009kq,P0138,P0139,51,66,0.06960000000000119,0.23145727467504668,-0.0567245461670654,0.01719093137504695,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009le,P0243,P0244,5,66,0.052100000000002894,0.19691452460395098,-0.038332487619510705,0.010606216635392811,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009y,P0108,P0109,56,5,-0.10010000000000474,0.16849910978993332,-0.0204614306919596,0.014867003952606516,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009y,P0108,P0110,56,65,-0.25580000000000075,0.20636302963467074,-0.0152332594614538,0.01749919880945706,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009y,P0109,P0110,5,65,-0.155699999999996,0.15132240415748094,0.0052281712305057996,0.009403974466038491,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2011fe,P0000,P0001,51,56,-0.057200000000001694,0.2341554611791064,-0.011858776490403192,0.006615293494158134,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2011fs,P0256,P0257,51,56,0.0599999999999952,0.2751638602723839,0.0202400036485311,0.03009344409881212,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2012cg,P0002,P0003,51,56,-0.02160000000000295,0.1598313798976909,0.10414978781241009,0.0067254592851215085,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2012fr,P0022,P0024,56,5,-0.09030000000000271,0.5628110251229981,-0.0583924565317047,0.011753510491403699,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2012ht,P0019,P0020,56,5,-0.10210000000000014,0.13812744115489867,0.006771524805455703,0.009636148515753378,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2013aa,P0006,P0007,56,5,-0.0924000000000014,0.14985015849174133,-0.018467443866305302,0.010528665233471764,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2013dy,P0017,P0018,51,56,-0.062100000000000904,0.13027862449381328,0.0442530640763004,0.009391588912177286,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2013ex,P0128,P0129,51,56,-0.0611000000000032,0.28250670788496335,0.009346456249304996,0.020875373532147745,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2013gh,P0082,P0083,51,56,-0.1711999999999989,0.37035443834251536,0.029181733768563603,0.021127063237527197,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2013gy,P0143,P0144,51,56,-0.025199999999998002,0.24801526162718296,-0.0761098761456739,0.01343356407605505,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2015f,P0027,P0028,56,5,-0.09170000000000302,0.18086417555723963,-0.2874328395671938,0.011089548683076031,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2016coj,P0031,P0032,51,150,0.013200000000001197,0.4751757464349375,-0.017835953628002398,0.003858975835801482,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2016fbk,P0552,P0553,51,150,-0.1953999999999993,0.2240100667380821,-0.102272613016717,0.01619700114066503,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2017cbv,P0008,P0009,5,18,-0.10940000000000083,0.10472024637098597,0.12113450318752171,0.008474245297998347,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2017cfd,P0145,P0146,150,51,0.007899999999999324,0.2877748599165674,-0.008156088316682299,0.006559890806682414,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2017erp,P0058,P0059,51,150,0.022199999999998,0.1438919038723166,0.024860204282230403,0.0031156049473104468,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2017erp,P0058,P0060,51,18,-0.009700000000002304,0.10954679365458396,-0.006462293952075995,0.012349359505414357,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2017erp,P0059,P0060,150,18,-0.0319000000000003,0.12202753787567787,-0.0313224982343064,0.01233221329017224,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2018gv,P0038,P0039,18,51,-0.1262000000000007,0.0904781741637175,0.059369724856110404,0.011798089151631271,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2018gv,P0038,P0040,18,150,0.0302000000000007,0.07307605627016281,-0.060231996897143,0.01148970471226167,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2018gv,P0039,P0040,51,150,0.1564000000000014,0.09336974884832881,-0.1196017217532534,0.003039989401483206,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2019np,P0052,P0053,18,150,0.027000000000001023,0.09237418470546845,0.0093742902479488,0.007536247096911248,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:iptf13ebh,P0125,P0126,56,5,0.09680000000000183,0.2843211740268389,-0.00023905682961949948,0.014366712824907478,unreleased; sigma is a diagonal diagnostic only,ok,ok
