sn_block,uid_i,uid_j,survey_i,survey_j,released_common_difference,sigma_released_common_difference,local_refit_departure_difference,local_photometric_sigma_independent_proxy,raw_error_cross_survey_covariance,fit_i,fit_j
Pantheon:2003du,P0068,P0069,63,50,-0.026200000000002888,0.09479282673282828,0.0504581087791382,0.01020923643587918,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2003fa,P0592,P0593,57,63,-0.06510000000000099,0.11993473225050365,0.058893532837507395,0.007900478193325036,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2003w,P0285,P0286,57,63,0.039099999999997706,0.16312390995804385,0.0021140188727140977,0.00708286291645704,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2004as,P0522,P0523,57,63,-0.158300000000004,0.12174937371502163,-0.048445096757303296,0.013498345314475716,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2004bg,P0314,P0315,57,63,-0.09769999999999611,0.15159248002457115,0.0477632300949262,0.024000980940576296,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2004ef,P0468,P0469,57,5,0.0356999999999985,0.13422164505026749,-0.00033107073903880513,0.004823832237080745,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2004ef,P0468,P0470,57,64,0.0433999999999983,0.15850470024576557,0.2621557552400288,0.04115587249352461,unreleased; sigma is a diagonal diagnostic only,ok,local_fit_not_converged
Pantheon:2004ef,P0469,P0470,5,64,0.007699999999999804,0.14900063758252846,0.2624868259790676,0.04089567904543458,unreleased; sigma is a diagonal diagnostic only,ok,local_fit_not_converged
Pantheon:2005am,P0088,P0089,57,5,-0.02009999999999934,0.31619305811481696,-0.0820582904737271,0.004221834434670404,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005am,P0088,P0090,57,64,0.0394000000000006,0.3135908959137685,-0.0726277623849489,0.007133892812166368,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005am,P0089,P0090,5,64,0.05949999999999994,0.316021518254691,0.0094305280887782,0.006057608742540684,unreleased; sigma is a diagonal diagnostic only,ok,ok
