uid,epochs_tested,identifiable_epoch_jackknifes,single_epoch_jackknife_max
P0687,27,27,0.020094836775854694
P0688,49,49,0.012850946322782667
P0689,36,36,0.011991637224239479
P0690,16,16,0.011048948412767389
P0691,20,20,0.01595649490367438
P0692,23,23,0.017505919034449136
P0693,30,30,0.03055446478417966
P0694,28,28,0.02428916867422497
P0695,32,32,0.031575061310191714
P0696,29,29,0.06321259930325285
P0697,11,11,0.01610458713103397
P0698,5,5,0.030763792417027407
P0699,17,17,0.03100212910277294
P0700,54,54,0.04187680019131978
P0701,39,39,0.05996981017918358
P0702,23,23,0.0617280602328789
P0703,34,34,0.027213981911996293
P0704,23,23,0.04376760769780938
P0705,33,33,0.009367214624624936
P0706,28,28,0.02503149854499252
P0707,37,37,0.01641797283824879
P0708,24,24,0.02127733969380475
P0709,14,14,0.025572638835408664
P0710,26,26,0.024589224977279115
P0711,44,44,0.03478861929426608
P0712,15,15,0.04148808715289149
P0713,22,22,0.10945486761030479
P0714,9,9,0.021368592121803077
P0715,12,12,0.0030224602972002304
P0716,10,10,0.006184745846316911
P0717,27,27,0.14094897652395746
P0718,34,34,0.03683163824648187
P0719,30,30,0.03513751838774424
P0720,32,32,0.07921547017737085
P0721,11,11,0.016026393519138725
P0722,10,10,0.027608960192513042
P0723,23,23,0.08087089591580632
P0724,9,9,0.07535137051979468
P0725,31,31,0.007724690238918987
P0726,30,30,0.013707594362059518
P0727,34,34,0.0032315974959914256
P0728,27,27,0.0039385364020715985
P0729,16,16,0.06868302850609567
P0730,15,15,0.010463693689279048
P0731,11,11,0.19368190049250172
P0732,40,40,0.0413256257726266
P0733,16,16,0.010754182564002488
P0734,20,20,0.08488870174486866
P0735,15,15,0.007523918255650987
P0736,11,11,0.12876625717736703
P0737,13,13,0.0070839380590851835
P0738,39,39,0.009320906787651332
P0739,17,17,0.2305244707452509
P0740,24,24,0.010189572368848248
P0741,28,28,0.010356369394636423
P0742,37,37,0.008270339325244624
P0743,29,29,0.011136784419501939
P0744,12,12,0.06044056080997145
P0745,32,32,0.0032565544287923498
P0746,10,10,0.03235192178114144
P0747,14,14,0.04517376229732848
P0748,16,16,0.003386007614249908
P0749,6,6,0.00999076653178367
P0750,14,14,0.0323627878795187
P0751,4,3,0.040339101483394084
P0752,6,6,0.01864520920107884
P0753,23,23,0.012236172405420364
P0754,12,12,0.006029538355567868
P0755,21,21,0.030254990956275884
P0756,14,14,0.012878067176492872
P0757,14,14,0.006732789072346779
P0758,8,8,0.019747218318788323
P0759,18,18,0.0041883367928558235
P0760,20,20,0.015473935365456163
P0761,8,8,0.010004869873727507
P0762,16,16,0.005362679175790928
P0763,39,39,0.06442709056864863
P0764,13,13,0.005619687688184411
P0765,14,14,0.03174934939702613
P0766,31,31,0.025925960818756193
P0767,9,9,0.010633565825367532
P0768,26,26,0.027369466032147963
P0769,15,15,0.010841993433151674
P0770,14,14,0.06369871579686692
P0771,11,11,0.018160693462056596
P0772,20,20,0.0131494551844788
P0773,17,17,0.006954016360401166
P0774,17,17,0.005448891280328452
P0775,13,13,0.026384380205410393
P0776,17,17,0.009155379806453093
P0777,13,13,0.012319297363037501
P0778,18,18,0.02886363813808341
P0779,9,9,0.02323488987134934
P0780,9,9,0.02133547638070848
P0781,19,19,0.00850652525615817
P0782,15,15,0.005535962298635092
P0783,6,6,0.023293619492813642
P0784,15,15,0.030253261059377777
P0785,25,25,0.011765446710780472
P0786,14,14,0.023490551293854297
P0787,14,14,0.042355419273650684
P0788,29,29,0.01683799131266939
P0789,23,23,0.04471183552968489
P0790,12,12,0.01360326694757474
P0791,21,21,0.01452079864045898
P0792,13,13,0.014617600106907625
P0793,19,19,0.030639121323811334
P0794,18,18,0.029834757573749995
P0795,12,12,0.022135687569448746
P0796,12,12,0.04145210060526918
P0797,8,8,0.030091016046865315
P0798,12,12,0.05810817747469195
P0799,18,18,0.005784833234925336
P0800,42,42,0.00702618107086245
P0801,9,9,0.014100849199520421
P0802,10,10,0.027046715945203595
P0803,35,35,0.010840863582392418
P0804,28,28,0.01055914612778283
P0805,12,12,0.004359903816071604
P0806,11,11,0.023874089582053323
