uid,dataset,raw_row,CID,IDSURVEY,source,status,epochs,bands,common_delta_mag,common_sigma_photometric,delta_x1,delta_c,delta_t0,chi2_photometric,dof_photometric,band_residual_chi2,band_residual_rank,phase_residual_chi2,phase_residual_rank,band_jackknife_max,epoch_jackknife_max,systematic_common_rms,systematic_variants,condition,nominal_calibration_status
P0015_ALT1,Pantheon,15,2005df,50,C:\Users\carbe\Downloads\BHSM_SN_SIGHTLINE_TOMOGRAPHY_V1\inputs\pantheon_release\Pantheon+_Data\1_DATA\photometry\PS1s_LOWZ_JRK07_NOCFA_DS15\ANU_2005df.txt,ok,55,4,-0.00726413836255787,0.005275360067408104,0.14427544844291276,-0.0028114603772610783,-0.15924508794705616,366.4349408688293,51,87.58967790008586,3,12.18604497549301,2,0.05956051693926018,0.02561305586309737,0.01143144346792639,9,5.996683781187198,Pantheon released kcor
P0015_ALT2,Pantheon,15,2005df,50,C:\Users\carbe\Downloads\BHSM_SN_SIGHTLINE_TOMOGRAPHY_V1\inputs\pantheon_release\Pantheon+_Data\1_DATA\photometry\PS1s_LOWZ_JRK07_NOCFA_DS15\OTHER_2005df_KrisLandolt.DAT,ok,40,4,0.016856522176338505,0.011844307655684717,0.17699626795300363,-0.017655132542412806,-0.07488122963695787,73.15350074848234,36,34.111956284467624,3,4.312285661099273,2,0.05270134119338101,0.007436914175794266,0.007531194092858266,9,5.606358124599281,Pantheon released kcor
