uid,chromatic_residual_chi2,chromatic_rank,phase_given_chromatic_chi2,phase_rank,remaining_chi2,post_source_chi2
P0000,181.91326454059433,2,510.7890267813414,2,366.96790207338734,1059.670193395323
P0001,686.1723577353171,2,540.4892041929811,2,610.8754523864723,1837.5370143147686
P0002,196.72286908503813,5,64.56942225591618,2,511.92437032815616,773.2166616691103
P0003,87.64952379220604,2,36.61055672033096,2,212.22113505537885,336.4812155679159
P0004,69.75537100700059,3,53.29156721822886,2,151.21919707976505,274.2661353049946
P0005,9.834330678231916,3,4.585914247743416,2,55.497006130574135,69.91725105654945
P0006,19.584322754881374,2,1.2757220516862984,2,102.34373124897995,123.20377605554764
P0007,11.057707908795248,3,225.08535885007197,2,143.90601419670872,380.0490809555761
P0008,1586.100581312562,5,584.6088428648899,2,1790.623241920049,3961.3326660975
P0009,69.38680549962922,3,93.12243912330328,2,178.8039970269621,341.31324164989456
P0010,956.9250331011463,4,566.1494902856113,2,778.325950060935,2301.400473447693
P0011,138.66499774135397,6,36.64223400490632,2,249.75643903215325,425.0636707784134
P0012,2055.5649121888514,4,80.03741678876747,2,532.188674245295,2667.791003222917
P0013,102.42816719915916,4,3.064948943134909,2,241.92279968190132,347.4159158241954
P0014,110.7581060041999,2,21.908399412217854,2,94.80297826911254,227.46948368553038
P0015,34.11195628446752,3,2.7623894034596828,2,36.279155045315854,73.1535007332431
P0016,87.58945268784761,3,26.521576331673643,2,252.32389880092768,366.43492782044893
P0017,1526.5908143587292,6,1889.0907075877049,2,1792.3511451318063,5208.032667078238
P0018,102.2291561496251,2,7.465105210569027,2,106.49624495507875,216.19050631527296
P0019,59.2574401025909,2,33.136433460723225,2,162.83582885306168,255.22970241637577
P0020,83.51309977061298,5,2.5500904485084024,2,554.3030758086459,640.3662660277671
P0021,46.55224191438624,4,42.09179511117866,2,58.42176773362376,147.06580475918872
P0022,28.55669726327791,2,31.71695572483367,2,90.06050448199339,150.33415747010497
P0023,7869.760281420121,5,1726.3867326800748,2,36674.26118172343,46270.408195823635
P0024,7701.062867393687,5,2575.887598020416,2,7815.411324818723,18092.361790232826
P0025,57.2831211254979,4,24.212025483603743,2,1100.842289762487,1182.3374363715886
P0026,202.54439032006863,2,92.77495146272467,2,848.5312257893978,1143.8505675721908
P0027,15.381327540409522,2,19.602521966927753,2,104.7606922787458,139.74454178608306
P0028,5416.519673603643,5,6398.200915295585,2,11820.001250406953,23634.721839306196
P0029,31.993956441408162,2,34.759400001124526,2,149.22623921026943,215.979595652802
P0030,122.57024471912891,3,32.530776564721506,2,408.25592003917353,563.3569413230239
P0031,343.1687143799555,6,30.639341453618936,2,597.1349301754422,970.9429860090149
P0032,680.5227558502131,2,5018.82500855768,2,6432.7779592220395,12132.125723629932
P0033,279.17496900176525,3,6.246220714101018,2,372.92167950902456,658.3428692248909
P0034,577.2889224336388,3,33.8383831011536,2,377.6849997621008,988.8123052968936
P0035,202.4646277908189,3,288.13907235249803,2,46.92284271394703,537.5265428572641
P0036,131.09774419621033,4,141.3960621282919,2,212.39430925660258,484.88811558110467
P0037,74.6433867103021,2,38.654010912720274,2,244.3237050693209,357.6211026923431
P0038,43.32499098881171,7,18.769290338057672,2,170.2271372979141,232.32141862478352
