test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_62,0,0.0,0.01,156,-0.048564486619153704,-0.27686916061711203,0.42628685657171417,6.551016347066398,20,0.6426786606696652
P_leave_survey_62,1,0.01,0.03,1479,0.9037937042760388,0.7173138312913278,0.16241879060469766,11.252918047728306,20,0.2928535732133933
P_leave_survey_62,2,0.03,0.05,1367,-0.6934793477745201,-0.7688007097869167,0.7916041979010495,1.8336180307862666,3,0.92103948025987
P_leave_survey_62,3,0.05,0.1,929,-0.6717906040522424,-0.7525028477643274,0.768615692153923,1.7910823926763755,1,0.9160419790104948
