test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_63,0,0.0,0.01,156,-0.21680497320906378,-0.6370232028685359,0.5132433783108445,7.180822889338122,29,0.8025987006496752
P_leave_survey_63,1,0.01,0.03,1479,-0.014229149522503245,-0.3903951253358543,0.4657671164417791,16.296031239422256,29,0.7221389305347327
P_leave_survey_63,2,0.03,0.05,1367,-1.0709455175392006,-1.0579527814016978,0.8985507246376812,6.992630014603393,12,0.9955022488755623
P_leave_survey_63,3,0.05,0.1,929,-0.7982156795509996,-0.9669422919443522,0.8320839580209896,3.1332051377756085,2,0.9665167416291854
