test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_sky_3,0,0.0,0.01,156,2.0068153989803488,0.9786153350665263,0.04397801099450275,7.161843143873221,361,0.10944527736131934
P_leave_sky_3,1,0.01,0.03,1479,0.6786684928558179,0.2670983141795862,0.19640179910044978,13.518409903878132,361,0.4052973513243378
P_leave_sky_3,2,0.03,0.05,1367,0.5696719827147593,0.3305533047175113,0.25087456271864067,20.25776051677785,277,0.44677661169415295
P_leave_sky_3,3,0.05,0.1,929,-0.3600134671186871,-0.5258509491893633,0.6061969015492253,25.48682262772516,251,0.8330834582708646
