test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_4,0,0.0,0.01,156,-1.1178144375517192,-1.127595803985802,0.9735132433783108,3.0298969164295864,160,0.9845077461269365
P_leave_survey_4,1,0.01,0.03,1479,-1.1316466337930866,-1.1454446266654317,0.9740129935032483,3.1643844224522004,160,0.9865067466266867
P_leave_survey_4,2,0.03,0.05,1367,-1.1949522436382716,-1.2069818500304996,0.9920039980009995,3.573148853998045,160,0.999000499750125
P_leave_survey_4,3,0.05,0.1,929,-1.3081316759800583,-1.3317328347016582,0.9980009995002499,4.4559746667850035,160,1.0
