test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_1,0,0.0,0.01,156,1.1578178951721865,0.8674303714732408,0.1199400299850075,3.3973034353280593,321,0.25737131434282856
P_leave_survey_1,1,0.01,0.03,1479,1.1595766282906212,1.0402066551412152,0.12293853073463268,15.140056999801205,321,0.25687156421789104
P_leave_survey_1,2,0.03,0.05,1367,0.5076544240027474,0.4294885844500782,0.27786106946526734,32.21109636755458,321,0.47226386806596704
P_leave_survey_1,3,0.05,0.1,929,1.1762360209826983,1.120074761078003,0.12143928035982009,50.74189117699312,321,0.25087456271864067
