x1,c,MWEBV,HOST_LOGMASS,shell0_density_proxy,shell1_density_proxy,shell2_density_proxy,shell3_density_proxy,shell4_density_proxy,shell5_density_proxy,shell6_density_proxy,shell7_density_proxy,lc_delta_c,lc_delta_x1,lc_delta_t0,uid
-1.2487,0.0315093,0.00413247,10.717,0.8088393112023672,0.6778518040974935,0.7467548189492061,1.286913948059082,,,,,-0.0009179370575343,0.025357032718803,0.0298235289737931,D0201
-1.20437,0.0760678,0.0101495,10.578,2.486539310216904,0.4341778685649236,0.7036322283333746,0.7199832672874132,,,,,0.0186006181573335,-0.0547582774630595,0.0460438771333429,D0202
0.37714,-0.107851,0.0059716,9.063,0.8039027214050293,0.7785970509052277,0.6389248391677593,1.0235855388641355,,,,,0.0015707041776123,0.0378677997669625,0.0141464932676171,D0203
-0.687441,0.00361432,0.0110095,10.747,2.5044107059637706,0.4613373279571533,0.7153949552568896,0.8424979591369629,,,,,-0.009540588375899,0.0216704533575836,0.0592275640447041,D0204
0.27959,0.1427,0.00831152,8.218,2.5152929067611693,0.4744306743144989,0.8232515207652388,1.0301863253116608,,,,,0.0565277399072408,-0.0012689455540462,-0.8385619272230542,D0205
-0.74475,0.22864,0.0115569,11.605,2.510722364981969,0.4824748158454895,0.7422569229685027,0.8563058865070343,,,,,0.0988252922004275,3.305648903148894,-4.4779577270455775,D0206
-1.33554,-0.00123053,0.00931271,10.681,2.5019227186838786,0.4534521371126175,0.7206361324622713,0.835690997838974,,,,,0.0040857561558533,0.0490146833543911,-0.0774517087993444,D0207
-1.271,0.11711,0.0628285,10.589,1.3082998514175417,2.0341512819131213,0.923829517487822,0.6522199368476868,,,,,-0.0451062587127742,0.0505350016130639,-0.506673679650703,D0209
-2.52192,0.0951146,0.00529812,10.684,0.8036688327789306,0.7760105431079865,0.6353630115245951,1.0441943001747132,,,,,0.0173566293213565,-0.1549576121295635,0.0162423143119667,D0212
1.36907,0.0873241,0.0231052,11.165,1.418782718976339,1.2112042129039764,1.0845653435279583,1.2544500331083934,,,,,-0.0087485897514393,-0.1430862018299452,-0.001925382646732,D0214
0.82282,-0.0711387,0.00922373,10.699,2.5103477418422697,0.4633928974469503,0.7771232662529781,0.8637654210130373,,,,,,,,D0216
-1.16824,-0.0805097,0.0185328,10.988,1.3138108293215434,1.1582858244578045,1.2960886688067996,0.999464557170868,,,,,-0.0152351222585779,-0.2956115115447961,0.3341812062935787,D0217
1.19981,-0.02758,0.0177315,10.814,1.2763484040896098,1.1609923402468365,1.3657797698316902,0.8443747305870056,,,,,0.0066072323274678,-0.0375631975374151,0.1437713228442589,D0218
-0.45763,0.21242,0.0405419,9.064,1.3350225289662678,1.8798310458660128,0.9908009726425696,0.642326021194458,,,,,0.0015720635617838,-0.1276991414589748,0.1011284630512818,D0219
-2.44449,0.1433,0.0188074,10.816,1.2867894291877746,1.156908349196116,1.351379735716458,0.8886063671112061,,,,,0.0087779028048635,-0.5489730232758072,0.6795568425732199,D0220
-0.905189,0.13662,0.0342157,10.103,1.3830295085906985,1.7253297368685403,1.0571284253021769,0.6383931636810303,,,,,0.0084548732415623,0.0557962209529202,-0.0824242264861823,D0222
-0.602099,0.00763868,0.0471723,10.488,1.3420349438985189,1.930042797327041,0.958386174563704,0.6251087586085001,,,,,-0.0082600425606659,-0.1064532447072741,0.0645585122692864,D0223
1.48246,-0.0534213,0.00645914,9.08,0.8040993094444275,0.7664241562287013,0.6433822718159906,1.0415460610389708,,,,,-0.0099716235464815,-0.2185618380233347,0.0246998946240637,D0224
1.35276,-0.0282433,0.0231017,10.453,1.4095723430315654,1.1902197261651355,1.306730369041706,1.2265633803147535,,,,,0.0162679140618166,0.8849356381675406,-0.9455093652068172,D0226
-0.118582,0.0482209,0.0311545,10.841,1.3374587535858151,1.8535807450612387,1.010376488340312,0.64648508310318,,,,,,,,D0227
-1.15431,-0.0294134,0.00585387,8.9,0.8033344705899557,0.8556104471286138,0.6308370571711968,0.9534129619598388,,,,,-0.0380767646927086,-1.4758266902214523,2.3728206104642595,D0235
0.88588,0.12817,0.00797749,9.993,2.521071978410085,0.4863817969957987,0.8285309220182484,0.9262083545327188,,,,,-0.0001501716398169,0.0240930738524788,0.0151502137305215,D0236
0.60133,-0.0437931,0.0103619,10.658,2.507834949096044,0.4580547968546549,0.7598536312580109,0.8363623308638731,,,,,-0.0005612610607685,0.0053450820586281,-0.0255466198796057,D0237
1.48558,-0.0347251,0.0171829,8.974,1.3267496903737386,1.1617193321386974,1.3514160781071105,1.0193769097328187,,,,,0.0002599597010154,0.0055549714202098,-0.0283156775549286,D0241
-1.6373,0.0303361,0.0456044,10.965,1.3440319816271464,1.873829366763433,0.98561299258265,0.6378836750984191,,,,,-0.0762075448259192,-0.062154207703559,-1.390630986592441,D0242
-0.111789,0.18489,0.00826218,10.992,2.4845202287038166,0.4438722441593806,0.7466704239105356,0.8310415089130402,,,,,0.0162872295815632,-0.2817582394772637,-0.2206678042130079,D0243
-0.791173,0.21363,0.0265076,10.366,1.3309905926386516,1.6696128408114117,1.1390208170331757,0.7652986812591552,,,,,0.0105164320662183,0.1046528682116954,0.0402101936415419,D0244
-1.32252,-0.0415622,0.0087373,10.391,2.467979282140732,0.4249747594197591,0.6889214094342857,0.6891443518300852,,,,,0.0085095657580846,0.0905907604491422,0.2256177060044137,D0245
