test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_50,0,0.0,0.01,156,0.13309356777248557,0.7842279774350291,0.36281859070464767,6.929082503162737,28,0.5067466266866567
P_leave_survey_50,1,0.01,0.03,1479,-0.1679492177375398,0.045943168820835704,0.47726136931534235,8.664169966246327,28,0.6416791604197901
P_leave_survey_50,2,0.03,0.05,1367,-0.09039572887171954,0.010121383976064742,0.42028985507246375,4.401570201643904,12,0.6106946526736632
P_leave_survey_50,3,0.05,0.1,929,-0.00015136631232324612,0.06354908407239024,0.33233383308345826,1.6435497083867867,4,0.5667166416791605
