test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_64,0,0.0,0.01,156,-0.11182089284259247,-0.7100603540286933,0.4587706146926537,9.104995112931302,53,0.777111444277861
P_leave_survey_64,1,0.01,0.03,1479,0.2530406521438747,-0.11195824663638583,0.3638180909545227,32.435032447640985,53,0.6256871564217891
P_leave_survey_64,2,0.03,0.05,1367,-0.22669573923153627,-0.5176035986694968,0.5547226386806596,18.17454971977098,24,0.8170914542728636
P_leave_survey_64,3,0.05,0.1,929,-0.6058385515563978,-0.5981162662563497,0.6976511744127936,5.768710801729763,6,0.9325337331334332
