test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_57,0,0.0,0.01,156,-1.3350396947913146,-1.562866210181342,0.9735132433783108,9.973267194989267,88,1.0
P_leave_survey_57,1,0.01,0.03,1479,-1.9895427707815283,-1.9852478082841054,0.9960019990004998,41.35033943855303,88,1.0
P_leave_survey_57,2,0.03,0.05,1367,-0.9378417739933657,-1.059830471743525,0.8325837081459271,13.109533985341269,18,0.9945027486256871
P_leave_survey_57,3,0.05,0.1,929,-0.9541386340664292,-0.7519564861666727,0.9740129935032483,2.2928671229717175,1,0.9965017491254373
