test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_10,0,0.0,0.01,156,-0.9754270171766343,-0.9850137581240151,0.9740129935032483,2.1889218153313683,203,0.9885057471264368
P_leave_survey_10,1,0.01,0.03,1479,-1.043407534429532,-1.0051824858944027,0.9415292353823088,3.395204208251652,203,1.0
P_leave_survey_10,2,0.03,0.05,1367,-1.158595923711263,-1.0665947387166983,0.9510244877561219,6.617217489903431,203,1.0
P_leave_survey_10,3,0.05,0.1,929,-0.847090829771409,-0.78571097969219,0.8115942028985508,9.478045979257166,203,0.9425287356321839
