category,uid_i,uid_j,delta_z,angle_deg,W_cosine,same_survey
same_z_different_direction,P0162,P0165,0.0,135.5337557030015,0.0,True
same_z_different_direction,P0205,P0207,0.0,109.02048188095169,0.0,True
same_z_different_direction,P0394,P0395,0.0,65.73518957306257,0.0,True
same_z_different_direction,P0438,P0439,0.0,129.24660306940794,0.0,True
same_z_different_direction,P0498,P0499,0.0,63.54322422011708,0.0,True
same_z_different_direction,P0563,P0566,0.0,101.68552242727884,0.0,True
same_z_different_direction,P0602,P0603,0.0,72.5072490962497,0.0,True
same_z_different_direction,P1457,P1459,9.99999999995449e-06,73.61172228466765,0.0,True
same_z_different_direction,P0143,P0146,9.999999999999593e-06,90.22127545987321,0.0,True
same_z_different_direction,P0157,P0158,9.999999999999593e-06,89.98447173428255,0.0,True
same_z_different_direction,P0318,P0319,9.999999999999593e-06,69.03681131160913,0.15869815836849385,True
same_z_different_direction,P0396,P0397,9.999999999999593e-06,142.0799662946828,0.0,True
same_z_different_direction,P0459,P0460,9.999999999999593e-06,89.91425665640944,0.0,True
same_z_different_direction,P0489,P0490,9.999999999999593e-06,78.46250431131477,0.0,True
same_z_different_direction,P0171,P0173,1.0000000000001327e-05,117.0100787101452,0.0,True
same_z_different_direction,P0492,P0495,1.0000000000003062e-05,110.32823020244165,0.0,True
same_z_different_direction,P1118,P1119,1.0000000000010001e-05,78.80886026140041,0.0,True
same_z_different_direction,P1359,P1360,1.0000000000010001e-05,163.7705015410552,0.0,True
same_z_different_direction,P1482,P1483,1.0000000000010001e-05,73.5940910636246,0.0,True
same_z_different_direction,P1301,P1302,1.999999999996449e-05,153.0995875558591,0.0,True
same_z_different_direction,P0117,P0118,1.9999999999999185e-05,110.42344703132407,0.0,True
same_z_different_direction,P0291,P0292,1.9999999999999185e-05,84.04096540482672,0.0,True
same_z_different_direction,P0400,P0404,1.9999999999999185e-05,116.33120069942863,0.0,True
same_z_different_direction,P0314,P0316,2.0000000000002655e-05,89.08137053850515,0.0,True
same_z_different_direction,P0377,P0378,2.9999999999998778e-05,145.03346553605726,0.0,True
same_z_different_direction,P0379,P0384,2.9999999999998778e-05,106.79172349230635,0.0,True
same_z_different_direction,P0461,P0462,2.9999999999998778e-05,149.73057302001394,0.0,True
same_z_different_direction,P0478,P0479,2.9999999999998778e-05,95.01105968077856,0.0,True
same_z_different_direction,P0362,P0365,3.0000000000002247e-05,158.215618789077,0.0,True
same_z_different_direction,P0957,P0958,3.0000000000002247e-05,75.99453936376723,0.0,True
same_z_different_direction,P1085,P1086,3.0000000000002247e-05,66.00224249184514,0.0,True
same_z_different_direction,P1429,P1430,3.0000000000030003e-05,63.790876593516415,0.0,True
same_z_different_direction,P1126,P1127,3.999999999998449e-05,127.41174431081036,0.0,True
same_z_different_direction,P0232,P0235,3.999999999999837e-05,102.07224387892506,0.0,True
same_z_different_direction,P0267,P0271,4.000000000000184e-05,157.5107035367557,0.0,True
same_z_different_direction,P0430,P0433,4.000000000000184e-05,117.61063292350435,0.0,True
same_z_different_direction,P0510,P0512,4.000000000000531e-05,96.27614298353495,0.0,True
same_z_different_direction,P0890,P0891,4.000000000001225e-05,94.12193933959259,0.0,True
same_z_different_direction,P0871,P0872,4.999999999999449e-05,90.52485165585874,0.0,True
same_z_different_direction,P0212,P0213,4.999999999999796e-05,79.7558968419091,0.0,True
same_z_different_direction,P0344,P0346,5.000000000000143e-05,139.83188832615912,0.0,True
same_z_different_direction,P0472,P0473,5.000000000000143e-05,150.0470228160927,0.0,True
same_z_different_direction,P0480,P0481,5.000000000000143e-05,94.07619844339405,0.0,True
same_z_different_direction,P0648,P0649,5.000000000000143e-05,125.61361157384242,0.0,True
same_z_different_direction,P0595,P0596,5.9999999999997555e-05,60.81862316125029,0.0,True
same_z_different_direction,P0295,P0298,6.0000000000001025e-05,61.98197978347977,0.0,True
same_z_different_direction,P0455,P0457,6.0000000000001025e-05,111.44190344941816,0.0,True
same_z_different_direction,P0482,P0486,6.0000000000001025e-05,135.16158981609013,0.0,True
same_z_different_direction,P1272,P1273,6.0000000000004494e-05,101.32367576586108,0.0,True
same_z_different_direction,P1322,P1323,6.999999999995898e-05,88.53019073315942,0.0,True
same_z_different_direction,P0192,P0193,7.000000000000062e-05,117.19797385402731,0.0,True
same_z_different_direction,P0215,P0216,7.000000000000062e-05,127.30859930372684,0.0,True
same_z_different_direction,P0426,P0428,7.000000000000062e-05,87.16248524853137,0.0,True
same_z_different_direction,P0518,P0519,7.000000000000062e-05,159.45581848462314,0.0,True
same_z_different_direction,P0622,P0623,7.000000000000062e-05,82.89145390496621,0.0,True
same_z_different_direction,P1149,P1150,7.00000000000145e-05,136.47278530437003,0.0,True
same_z_different_direction,P1258,P1259,7.999999999996898e-05,128.85750696596534,0.0,True
same_z_different_direction,P1337,P1338,7.999999999996898e-05,73.37707719434145,0.0,True
same_z_different_direction,P1659,P1660,7.999999999996898e-05,131.43917274579957,0.0,True
same_z_different_direction,P0285,P0287,7.999999999999674e-05,111.47387341230932,0.0,True
same_z_different_direction,P0551,P0553,7.999999999999674e-05,110.3119785424091,0.0,True
same_z_different_direction,P0701,P0704,7.999999999999674e-05,141.79709982905544,0.0,True
same_z_different_direction,P0945,P0946,7.999999999999674e-05,149.91872754291032,0.0,True
same_z_different_direction,P0125,P0127,8.000000000000021e-05,65.66428867775181,0.0,True
