test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_18,0,0.0,0.01,156,-1.0579838210747257,-0.8267917848496901,0.9180409795102449,5.087907040082761,11,1.0
P_leave_survey_18,1,0.01,0.03,1479,-0.7668584939918603,-0.5359091639839634,0.7721139430284858,7.750418615574108,11,0.9185407296351824
P_leave_survey_18,2,0.03,0.05,1367,-0.3957669112811473,-0.30972071426601594,0.5472263868065967,2.3147360654718105,1,0.7651174412793603
P_leave_survey_18,3,0.05,0.1,929,-0.38286606199846585,-0.2863679528013044,0.5407296351824088,2.288086752128843,0,0.7566216891554223
