test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_61,0,0.0,0.01,156,-0.3129545614703446,0.15025873347060295,0.5172413793103449,2.7945695984586343,8,0.703648175912044
P_leave_survey_61,1,0.01,0.03,1479,-0.23526902564270027,0.29781175253345,0.49025487256371814,3.505257738849823,8,0.6621689155422289
P_leave_survey_61,2,0.03,0.05,1367,0.34366827369518305,0.9151905601926188,0.22288855572213892,1.3098702063820997,3,0.40229885057471265
P_leave_survey_61,3,0.05,0.1,929,-0.2461042701854776,0.11440466939615122,0.43478260869565216,1.2850783475600884,0,0.6661669165417291
