test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_100,0,0.0,0.01,156,1.1397651073200996,1.1013278410653402,0.11894052973513243,1.0125280264882923,5,0.12393803098450774
P_leave_survey_100,1,0.01,0.03,1479,1.0852499565366753,1.0474586159189454,0.12293853073463268,1.040855342892501,5,0.12743628185907047
P_leave_survey_100,2,0.03,0.05,1367,1.0530737227220808,1.01603851315227,0.12443778110944528,1.0516530222127596,5,0.12893553223388307
P_leave_survey_100,3,0.05,0.1,929,1.070061545605072,1.033057223490597,0.12393803098450774,1.0307134609282365,5,0.12843578210894552
