test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_15,0,0.0,0.01,156,0.2820801955716656,0.8537693183801778,0.3118440779610195,5.604914630691457,269,0.4522738630684658
P_leave_survey_15,1,0.01,0.03,1479,0.5767177092712085,1.1190721784240307,0.24087956021989004,9.367902563507641,269,0.34832583708145926
P_leave_survey_15,2,0.03,0.05,1367,0.14980098578941817,0.6232782720262187,0.38130934532733635,13.987735092435127,268,0.5062468765617192
P_leave_survey_15,3,0.05,0.1,929,-0.18562484065045762,0.3013195585275831,0.5252373813093453,19.052414899367594,266,0.656671664167916
