x1,c,MWEBV,HOST_LOGMASS,shell0_density_proxy,shell1_density_proxy,shell2_density_proxy,shell3_density_proxy,shell4_density_proxy,shell5_density_proxy,shell6_density_proxy,shell7_density_proxy,lc_delta_c,lc_delta_x1,lc_delta_t0,uid
0.35982,0.008178,0.0840917,10.5748,2.144073883692424,8.295585632324219,,,,,,,0.01507798850506,0.1905823525763596,-0.150021205219673,P0111
0.11098,0.040623,0.0395528,9.83179,0.8555271546045939,0.5757753252983093,,,,,,,-0.0005343851870954,-0.265069059950437,-0.1446633640007348,P0112
0.16103,0.038135,0.0395528,9.83179,0.8555271546045939,0.5757753252983093,,,,,,,0.0249995016859341,-0.2053390625946954,0.2869798530155094,P0113
-1.33873,0.009596,0.016006,10.5117,2.3032889048258465,1.735079646110535,,,,,,,-0.0076072047326816,0.054923962664855,-0.2719103220733814,P0114
-1.4709,0.010704,0.016006,10.5117,2.3032889048258465,1.735079646110535,,,,,,,-0.0279985477909393,0.0961692371334923,-0.1892170012652059,P0115
-1.68127,-0.095147,0.0228622,10.501,0.7670036951700846,1.781433582305908,,,,,,,-0.0166600610241594,0.1854337956188416,-0.4971039256561198,P0116
-0.181708,-0.00638,0.0857975,7.0,1.7780418992042542,2.21191143989563,,,,,,,0.0018721419743247,-0.0499066740783175,0.5099852933053626,P0117
0.24592,0.045569,0.0209058,6.952,1.942347594102224,1.2230255603790283,,,,,,,-0.0023775606831633,-0.191633410785961,0.1739370067516574,P0118
-0.125605,0.077144,0.0420618,10.53,0.5511812448501587,0.7726767063140869,,,,,,,-0.0112748867868747,-0.5996222078517667,0.0822173474516603,P0119
-0.883313,0.006885,0.0420618,10.53,0.5511812448501587,0.7726767063140869,,,,,,,0.0252614046400721,0.0428019377746818,-0.0926834052443155,P0120
0.39341,0.077583,0.0531043,9.594,0.6389090379079183,0.5224499831949628,,,,,,,0.0046080748416781,0.2711315380001541,-0.013010713046242,P0121
-0.609001,0.085938,0.0215171,12.588,1.943998948733012,1.2701364054988598,,,,,,,-0.0114619063947409,-0.1137094809757173,0.1346702618175186,P0122
0.73924,0.11153,0.0206824,8.37261,1.943057374159495,1.2699757057001724,,,,,,,-0.0209069690668874,0.0252277047132682,-0.0224612020610948,P0123
-1.97973,-0.031719,0.0203573,8.01649,0.9597995519638062,1.1740143502171143,,,,,,,0.0545085918079691,0.1530187707311165,0.157078389871458,P0124
-2.41474,0.023414,0.0665791,11.5,0.7504875143369039,1.5333673274880315,,,,,,,0.0181443797825578,0.7828575575979801,-0.3194813335212529,P0125
-2.15768,0.019191,0.0665791,11.5,0.7504875143369039,1.5333673274880315,,,,,,,0.047230834298847,-0.105661800023781,-0.076149683627591,P0126
-2.46319,0.012558,0.12089,7.25539,1.369565776983897,2.4557884277687325,,,,,,,0.1004304372921474,0.1105744698586153,-0.5127240407673526,P0127
-0.341166,-0.036939,0.12341,8.72661,1.3677380760510762,2.451732327503313,,,,,,,-0.0110467622514546,0.1121306320538038,-0.3650822506824625,P0128
-0.40726,-0.092801,0.12341,8.72661,1.3677380760510762,2.451732327503313,,,,,,,-3.807516484585771e-05,-0.4066155458552351,-0.4375902101164683,P0129
-1.00248,-0.048333,0.18406,9.3236,0.9021067221959432,2.171700536986412,,,,,,,0.04550587583595,0.0202668359859584,-0.1572674341805395,P0130
0.41451,-0.084504,0.0173722,7.12388,3.05274654229482,1.1942472639022037,,,,,,,0.0703378149811831,-0.2233931220200232,0.2013818630366586,P0131
0.12432,0.041271,0.0789624,7.0,2.2787784258524577,9.562698849975352,,,,,,,0.0085735495936535,0.0756220217595416,-0.0608155388545128,P0132
-1.33511,-0.120964,0.11827,9.51953,1.3613141814867655,1.7247004521677374,,,,,,,-0.0163808285264759,-0.0626132517935764,0.012575669279613,P0133
-2.58836,-0.068675,0.0114994,10.1182,2.1889987707138063,1.6198309000686275,,,,,,,0.0325918215910489,0.1286317551314768,-0.0996708323946222,P0134
-2.23955,0.013559,0.0620208,11.0466,2.04340132077535,1.5982247774002685,,,,,,,-0.0146269623809134,0.048798828920848,-2.0923298386260285,P0135
-1.46565,-0.09141,0.0879147,10.6057,0.3691040317217509,0.8801666894761266,,,,,,,0.0187999881383689,-0.146027540677393,0.0242052557878196,P0136
-1.30067,-0.073286,0.0879147,10.6057,0.3691040317217509,0.8801666894761266,,,,,,,-0.0010006126412857,-0.0492088086489486,-0.1671197534087696,P0137
-0.139165,-0.054923,0.0352884,7.75299,0.9150062799453736,0.609024213074887,,,,,,,-0.0061781158534277,0.1202566558621759,-0.1492363721263245,P0138
-0.087808,-0.036886,0.0352884,7.75299,0.9150062799453736,0.609024213074887,,,,,,,0.0166592992178019,0.3913400431088741,-0.5418677755878889,P0139
-0.922972,0.14144,0.0561,10.7524,0.90666188398997,3.571119601233353,,,,,,,0.0165373691668196,0.1143532109260071,0.069619930582121,P0140
-0.894852,0.000829,0.0407166,9.88173,1.0779671748479207,2.505276560633092,,,,,,,0.0561884100887654,0.0355631752984559,0.1004371336312033,P0141
-0.953229,0.060154,0.0407166,9.88173,1.0779671748479207,2.505276560633092,,,,,,,0.021129666679768,0.0166579539828121,0.0161849900250672,P0142
-0.513534,-0.023595,0.0496334,10.4638,1.510937718550364,1.826108967967584,,,,,,,0.0132488409119796,0.0213347464915584,-0.0826005507915397,P0143
