test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_66,0,0.0,0.01,156,3.7827407342267305,4.315280991601595,0.006496751624187906,4.665953718825993,11,0.019490254872563718
P_leave_survey_66,1,0.01,0.03,1479,2.8631453736739574,3.3157673860093384,0.019490254872563718,5.604132419667394,11,0.04997501249375312
P_leave_survey_66,2,0.03,0.05,1367,2.570411603646571,3.2778683670929385,0.03398300849575212,1.7546743971763836,3,0.06096951524237881
P_leave_survey_66,3,0.05,0.1,929,2.7460433594542364,3.506409789397068,0.02948525737131434,1.7250629575516467,1,0.054972513743128434
