test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_5,0,0.0,0.01,156,-0.635407662453069,-1.1679128193215815,0.7171414292853573,9.152821399216606,76,0.9270364817591205
P_leave_survey_5,1,0.01,0.03,1479,-0.023194926964299513,-0.5302385891141651,0.4662668665667166,35.30405173777228,76,0.7156421789105447
P_leave_survey_5,2,0.03,0.05,1367,-0.4956550729119235,-0.691049478163427,0.6611694152923538,21.574554828541512,34,0.8895552223888056
P_leave_survey_5,3,0.05,0.1,929,0.6397890778878358,0.23109108705106285,0.22938530734632684,9.919640078405527,12,0.43428285857071464
