category,uid_i,uid_j,delta_z,angle_deg,W_cosine,same_survey
same_direction_different_z,D1084,D1498,0.13465000000000005,0.0021481767819102973,0.9999999999999999,True
same_direction_different_z,D0722,D1322,0.19333000000000006,0.0041113456425168485,1.0000000000000002,True
same_direction_different_z,D1611,D1663,0.03793000000000002,0.004444445559011295,1.0,True
same_direction_different_z,D0425,D1643,0.45416,0.004633445862023338,1.0,True
same_direction_different_z,D1282,D1704,0.20779000000000003,0.005996794326897965,1.0000000000000002,True
same_direction_different_z,D0810,D1123,0.1053,0.007011461210701613,1.0,True
same_direction_different_z,D1678,D1792,0.17398999999999998,0.0070376125650144965,0.997546250640785,True
same_direction_different_z,D0389,D1802,0.6991,0.008354514413582878,1.0000000000000002,True
same_direction_different_z,D1011,D1287,0.08653,0.008669141307108729,1.0,True
same_direction_different_z,D0353,D0706,0.13459,0.008756600499397464,1.0,True
same_direction_different_z,D0366,D1508,0.39959,0.010233540567985097,0.9979258289660162,True
same_direction_different_z,D1094,D1450,0.11043999999999998,0.010589646651320953,0.9999999999999999,True
same_direction_different_z,D0471,D1603,0.40468999999999994,0.010960040760309537,1.0,True
same_direction_different_z,D0279,D1033,0.3014,0.011017475747094089,0.9999999999999999,True
same_direction_different_z,D0783,D1396,0.2041,0.011283247776178182,0.9999999999999999,True
same_direction_different_z,D0967,D1648,0.26278,0.0118456863450559,0.9999999999999999,True
same_direction_different_z,D1446,D1809,0.37407,0.012048812718765482,0.9999999999999999,True
same_direction_different_z,D0516,D0836,0.11357,0.012141662493874928,0.9978380004155483,True
same_direction_different_z,D0489,D0988,0.17640999999999996,0.012545785200218337,0.9999999999999999,True
same_direction_different_z,D1223,D1346,0.03855999999999993,0.012743295309969508,1.0,True
same_direction_different_z,D1331,D1594,0.10951,0.013920255804358008,0.9999999999999999,True
same_direction_different_z,D0792,D1503,0.23898999999999998,0.013921383850497121,0.9975698627504548,True
same_direction_different_z,D0717,D0930,0.07772000000000001,0.014098116466730294,1.0000000000000002,True
same_direction_different_z,D1639,D1782,0.16949999999999998,0.01425411780300408,0.9979013618001529,True
same_direction_different_z,D0335,D1022,0.25889,0.014764298053433537,0.9999999999999999,True
same_direction_different_z,D0307,D1427,0.40786,0.014970932834233501,1.0000000000000002,True
same_direction_different_z,D0667,D1672,0.39323,0.015004414006262717,1.0,True
same_direction_different_z,D1428,D1569,0.05445,0.015109181460501196,0.9999999999999999,True
same_direction_different_z,D0949,D1155,0.06665999999999994,0.015286502109286604,0.9999999999999999,True
same_direction_different_z,D0644,D1538,0.30810999999999994,0.015443121977119572,0.997811837378647,True
same_direction_different_z,D1509,D1780,0.24427,0.015476422826512792,1.0,True
same_direction_different_z,D0205,D1566,0.5879599999999999,0.015778123905574884,1.0,True
same_direction_different_z,D0207,D0579,0.22891000000000003,0.01579218088680955,0.9999999999999999,True
same_direction_different_z,D1516,D1766,0.21350999999999998,0.01590176121150146,0.9980268306926254,True
same_direction_different_z,D0885,D1468,0.19018000000000002,0.016238329419180107,1.0000000000000002,True
same_direction_different_z,D0244,D0408,0.10316,0.01676601120541231,0.9999999999999999,True
same_direction_different_z,D0450,D1513,0.35986999999999997,0.01715017044229181,0.9980229320320949,True
same_direction_different_z,D0880,D1008,0.051009999999999944,0.017510197202929564,0.9999999999999999,True
same_direction_different_z,D0587,D1190,0.21464000000000005,0.01755994646529423,0.9977520164497331,True
same_direction_different_z,D0775,D1632,0.31801,0.017593363209904376,0.9975155241116161,True
same_direction_different_z,D0699,D1410,0.2393,0.017672396125643405,1.0,True
same_direction_different_z,D1633,D1736,0.09302999999999995,0.017718700598289207,1.0,True
same_direction_different_z,D1442,D1660,0.12077000000000004,0.01789690191264085,0.9999999999999999,True
same_direction_different_z,D1072,D1800,0.44797,0.017968862736792667,1.0,True
same_direction_different_z,D0432,D0742,0.11197000000000001,0.018045316619620347,1.0000000000000002,True
same_direction_different_z,D0687,D1225,0.18223,0.01807013749065806,1.0,True
same_direction_different_z,D0652,D1412,0.26249,0.018157895121234103,1.0000000000000002,True
same_direction_different_z,D1031,D1469,0.13531000000000004,0.01824125511637097,1.0000000000000002,True
same_direction_different_z,D0955,D1461,0.16131999999999996,0.01844328988273783,0.9978300047009183,True
same_direction_different_z,D0267,D1755,0.65574,0.018502203721061716,0.9999999999999999,True
same_direction_different_z,D0356,D1608,0.46138999999999997,0.018628940954847552,1.0,True
same_direction_different_z,D1588,D1741,0.13507999999999998,0.018901652438649965,0.9999999999999999,True
same_direction_different_z,D0737,D1352,0.19916,0.018915975933274782,1.0,True
same_direction_different_z,D1278,D1439,0.048250000000000015,0.018916288816615334,0.9999999999999999,True
same_direction_different_z,D0255,D1702,0.59822,0.018951497243587755,1.0,True
same_direction_different_z,D1471,D1789,0.29596,0.01926343415487639,1.0000000000000002,True
same_direction_different_z,D1277,D1771,0.30577,0.01926857345458565,1.0000000000000002,True
same_direction_different_z,D0995,D1291,0.09492,0.019411591047570422,0.9974683544303797,True
same_direction_different_z,D0334,D1292,0.34303999999999996,0.019497466879985503,1.0,True
same_direction_different_z,D1067,D1244,0.05452000000000001,0.0197682324588794,0.9978354978354979,True
same_direction_different_z,D1376,D1728,0.20743,0.01978428721770857,0.997596153846154,True
same_direction_different_z,D0888,D1433,0.17954000000000003,0.02001871715281683,0.9976824997815539,True
same_direction_different_z,D0444,D1149,0.24189,0.020176468202282912,0.9954776844093135,True
same_direction_different_z,D0584,D0703,0.046630000000000005,0.020572778676093764,0.9977949256517531,True
same_direction_different_z,D0388,D1690,0.5075500000000001,0.020759936575383154,0.997572063871315,True
same_direction_different_z,D0583,D1545,0.33205,0.02077849539169439,0.9975700977755154,True
same_direction_different_z,D0856,D1631,0.29228,0.020829453856010996,1.0,True
same_direction_different_z,D0823,D1452,0.20394999999999996,0.020942563550718586,0.9977116947228685,True
same_direction_different_z,D1127,D1651,0.21645999999999999,0.02096910535286076,0.9916176310543158,True
same_direction_different_z,D1144,D1511,0.12196999999999991,0.02111582034460305,1.0,True
same_direction_different_z,D0959,D1251,0.09205999999999992,0.021734295011687478,0.9975641795486708,True
same_direction_different_z,D0321,D0552,0.09194999999999998,0.022335228586940505,0.9975522561944729,True
same_direction_different_z,D0250,D0915,0.27247,0.022655620735483707,1.0000000000000002,True
same_direction_different_z,D0294,D1381,0.39874999999999994,0.023071002664367287,0.9978473079425023,True
same_direction_different_z,D0548,D1041,0.18009999999999993,0.02323424998486986,1.0,True
same_direction_different_z,D0478,D1465,0.32794000000000006,0.023837841932992702,0.9952641991715259,True
same_direction_different_z,D0317,D1387,0.38253,0.02413937590835212,1.0,True
same_direction_different_z,D0849,D1206,0.12232999999999994,0.024149300368585914,0.9975124689837939,True
same_direction_different_z,D1064,D1640,0.22443999999999997,0.024308492381275883,1.0,True
same_direction_different_z,D1347,D1628,0.12746000000000002,0.024467737655675916,0.9978110189574434,True
same_direction_different_z,D0793,D1562,0.25854,0.02457868410240769,1.0,True
same_direction_different_z,D0362,D0636,0.09985,0.024642280396696737,0.9977003643913783,True
same_direction_different_z,D1811,D1818,0.08921000000000001,0.02505423353488338,1.0,True
same_direction_different_z,D0309,D0719,0.16992,0.025104714441175652,1.0,True
same_direction_different_z,D0397,D0750,0.13100999999999996,0.025346234211381876,0.9954547376350843,True
same_direction_different_z,D1318,D1646,0.15296999999999994,0.02545957593535909,1.0,True
